entity_type,example
vehicle_id,DL01AB1234
vehicle_id,MH12CD5678
vehicle_id,KA-01-MA-9999
vehicle_id,UP32GH7890
battery_id,BAT123456
battery_id,BS789012
battery_id,BATT-12345678
station_id,STN1234
station_id,SWAP-DEL-001
station_id,SWAP-MUM-042
location,Connaught Place
location,कनॉट प्लेस
location,Andheri East
location,अंधेरी ईस्ट
location,near metro station
location,मेट्रो स्टेशन के पास
landmark,India Gate
landmark,इंडिया गेट
landmark,Gateway of India
landmark,Red Fort
landmark,लाल किला
amount,₹500
amount,500 rupees
amount,500 रुपये
amount,"1,000 rs"
